지역명,연도,월,평당분양가격
충남,2018,5,8094.9
전북,2018,5,7675.799999999999
전남,2018,5,7774.799999999999
경북,2018,5,8672.4
경남,2018,5,8893.5
제주,2018,5,12952.5
서울,2018,6,22090.2
인천,2018,6,11127.6
경기,2018,6,12959.1
부산,2018,6,12817.2
대구,2018,6,12107.7
광주,2018,6,9900.0
대전,2018,6,9807.6
울산,2018,6,10312.5
세종,2018,6,10332.3
강원,2018,6,7563.599999999999
충북,2018,6,7873.799999999999
충남,2018,6,8141.099999999999
전북,2018,6,7675.799999999999
전남,2018,6,7774.799999999999
경북,2018,6,8682.3
경남,2018,6,8893.5
제주,2018,6,12952.5
서울,2018,7,22506.0
인천,2018,7,11127.6
경기,2018,7,13041.6
부산,2018,7,13035.0
대구,2018,7,12249.6
광주,2018,7,9685.5
대전,2018,7,9698.7
울산,2018,7,10312.5
세종,2018,7,10332.3
강원,2018,7,7629.599999999999
충북,2018,7,7887.0
충남,2018,7,8141.099999999999
전북,2018,7,7698.9
전남,2018,7,7778.099999999999
경북,2018,7,8824.199999999999
경남,2018,7,8896.8
제주,2018,7,11002.2
서울,2018,8,22212.3
인천,2018,8,11031.9
경기,2018,8,13431.0
부산,2018,8,13107.6
대구,2018,8,12295.8
광주,2018,8,9685.5
대전,2018,8,9698.7
울산,2018,8,10312.5
세종,2018,8,10388.4
강원,2018,8,7669.2
충북,2018,8,7887.0
충남,2018,8,8071.799999999999
전북,2018,8,7626.299999999999
전남,2018,8,7778.099999999999
경북,2018,8,8589.9
경남,2018,8,8781.3
제주,2018,8,11002.2
서울,2018,9,23080.2
인천,2018,9,11031.9
경기,2018,9,13510.2
부산,2018,9,13497.0
대구,2018,9,12342.0
광주,2018,9,9672.3
대전,2018,9,11111.1
울산,2018,9,10312.5
세종,2018,9,10388.4
강원,2018,9,7685.7
충북,2018,9,7867.2
충남,2018,9,8071.799999999999
전북,2018,9,7626.299999999999
전남,2018,9,7761.599999999999
경북,2018,9,8721.9
경남,2018,9,9061.8
제주,2018,9,11002.2
서울,2018,10,24347.4
인천,2018,10,11352.0
경기,2018,10,13648.8
부산,2018,10,13318.8
대구,2018,10,12536.7
광주,2018,10,10045.2
대전,2018,10,11055.0
울산,2018,10,9537.0
세종,2018,10,10388.4
강원,2018,10,7778.099999999999
충북,2018,10,7867.2
충남,2018,10,8071.799999999999
전북,2018,10,7659.299999999999
전남,2018,10,7788.0
경북,2018,10,8662.5
경남,2018,10,9223.5
제주,2018,10,11002.2
서울,2018,11,24317.7
인천,2018,11,11724.9
경기,2018,11,13698.3
부산,2018,11,13332.0
대구,2018,11,12622.5
광주,2018,11,10563.3
대전,2018,11,11055.0
울산,2018,11,9537.0
세종,2018,11,10388.4
강원,2018,11,7873.799999999999
충북,2018,11,7811.099999999999
충남,2018,11,7989.299999999999
전북,2018,11,7731.9
전남,2018,11,7715.4
경북,2018,11,8847.3
경남,2018,11,9230.1
제주,2018,11,10936.2
서울,2018,12,24413.4
인천,2018,12,11708.4
경기,2018,12,13777.5
부산,2018,12,13424.4
대구,2018,12,12952.5
광주,2018,12,10837.2
대전,2018,12,12012.0
울산,2018,12,
세종,2018,12,10081.5
강원,2018,12,7675.799999999999
충북,2018,12,7811.099999999999
충남,2018,12,7969.5
전북,2018,12,7854.0
전남,2018,12,7883.7
경북,2018,12,8847.3
경남,2018,12,9675.6
제주,2018,12,11299.2
서울,2019,1,25080.0
인천,2019,1,11823.9
경기,2019,1,14051.4
부산,2019,1,13424.4
대구,2019,1,13143.9
광주,2019,1,10926.3
대전,2019,1,12173.7
울산,2019,1,
세종,2019,1,10081.5
강원,2019,1,7784.7
충북,2019,1,7811.099999999999
충남,2019,1,8127.9
전북,2019,1,7854.0
전남,2019,1,7966.2
경북,2019,1,8705.4
경남,2019,1,9675.6
제주,2019,1,11299.2
서울,2019,2,25169.1
인천,2019,2,11847.0
경기,2019,2,14044.8
부산,2019,2,13424.4
대구,2019,2,13160.4
광주,2019,2,10926.3
대전,2019,2,12173.7
울산,2019,2,
세종,2019,2,10081.5
강원,2019,2,7784.7
충북,2019,2,7550.4
충남,2019,2,8484.3
전북,2019,2,7873.799999999999
전남,2019,2,7959.599999999999
경북,2019,2,8751.6
경남,2019,2,9675.6
제주,2019,2,11299.2
서울,2019,3,25647.6
인천,2019,3,12150.6
경기,2019,3,14417.7
부산,2019,3,13424.4
대구,2019,3,13117.5
광주,2019,3,10926.3
대전,2019,3,11913.0
울산,2019,3,
세종,2019,3,10081.5
강원,2019,3,7936.5
충북,2019,3,7560.299999999999
충남,2019,3,8570.1
전북,2019,3,8091.599999999999
전남,2019,3,7880.4
경북,2019,3,8741.699999999999
경남,2019,3,9494.1
제주,2019,3,11299.2
서울,2019,4,25687.2
인천,2019,4,12150.6
경기,2019,4,14556.3
부산,2019,4,12959.1
대구,2019,4,13249.5
광주,2019,4,10932.9
대전,2019,4,11820.6
울산,2019,4,
세종,2019,4,11411.4
강원,2019,4,8362.199999999999
충북,2019,4,7596.599999999999
충남,2019,4,8609.699999999999
전북,2019,4,7953.0
전남,2019,4,7623.0
경북,2019,4,8642.699999999999
경남,2019,4,9348.9
제주,2019,4,11355.3
서울,2019,5,25693.8
인천,2019,5,12807.3
경기,2019,5,14358.3
부산,2019,5,12949.2
대구,2019,5,13579.5
광주,2019,5,11602.8
대전,2019,5,11820.6
울산,2019,5,
세종,2019,5,11411.4
강원,2019,5,8236.8
충북,2019,5,7580.099999999999
충남,2019,5,8916.6
전북,2019,5,8147.7
전남,2019,5,7484.4
경북,2019,5,8378.699999999999
경남,2019,5,9705.3
제주,2019,5,11355.3
서울,2019,6,26730.0
인천,2019,6,12827.1
경기,2019,6,14952.3
부산,2019,6,12889.8
대구,2019,6,13747.8
광주,2019,6,11863.5
대전,2019,6,11470.8
울산,2019,6,
세종,2019,6,11411.4
강원,2019,6,8276.4
충북,2019,6,7679.099999999999
충남,2019,6,8639.4
전북,2019,6,8147.7
전남,2019,6,7656.0
경북,2019,6,8378.699999999999
경남,2019,6,9791.1
제주,2019,6,12355.2
서울,2019,7,26621.1
인천,2019,7,12827.1
경기,2019,7,14147.1
부산,2019,7,12777.6
대구,2019,7,14180.1
광주,2019,7,12381.6
대전,2019,7,11474.1
울산,2019,7,
세종,2019,7,11411.4
강원,2019,7,8220.3
충북,2019,7,7557.0
충남,2019,7,8811.0
전북,2019,7,8210.4
전남,2019,7,7722.0
경북,2019,7,8378.699999999999
경남,2019,7,9791.1
제주,2019,7,12767.7
서울,2019,8,26706.9
인천,2019,8,13005.3
경기,2019,8,14331.9
부산,2019,8,12972.3
대구,2019,8,14239.5
광주,2019,8,12279.3
대전,2019,8,11170.5
울산,2019,8,
세종,2019,8,11411.4
강원,2019,8,8223.6
충북,2019,8,7388.7
충남,2019,8,8715.3
전북,2019,8,8679.0
전남,2019,8,7735.2
경북,2019,8,8682.3
경남,2019,8,9824.1
제주,2019,8,12767.7
서울,2019,9,26680.5
인천,2019,9,13005.3
경기,2019,9,14655.3
부산,2019,9,13275.9
대구,2019,9,14381.4
광주,2019,9,12279.3
대전,2019,9,11358.6
울산,2019,9,8992.5
세종,2019,9,11411.4
강원,2019,9,8190.599999999999
충북,2019,9,7467.9
충남,2019,9,8523.9
전북,2019,9,8679.0
전남,2019,9,8187.299999999999
경북,2019,9,8771.4
경남,2019,9,9883.5
제주,2019,9,12767.7
서울,2019,10,26700.3
인천,2019,10,13025.1
경기,2019,10,14589.3
부산,2019,10,13332.0
대구,2019,10,14536.5
광주,2019,10,12444.3
대전,2019,10,11985.6
울산,2019,10,10362.0
세종,2019,10,11411.4
강원,2019,10,8118.0
충북,2019,10,7497.599999999999
충남,2019,10,8586.6
전북,2019,10,8434.8
전남,2019,10,8230.199999999999
경북,2019,10,9616.2
경남,2019,10,10589.7
제주,2019,10,12767.7
서울,2019,11,26604.6
인천,2019,11,12942.6
경기,2019,11,14694.9
부산,2019,11,13150.5
대구,2019,11,14460.6
광주,2019,11,12658.8
대전,2019,11,11985.6
울산,2019,11,10362.0
세종,2019,11,11411.4
강원,2019,11,8283.0
충북,2019,11,7599.9
충남,2019,11,8586.6
