지역명,전용면적,연도,월,평당분양가격
경북,모든면적,2024,5,13784.1
전북,85m²~102m²,2019,9,8989.199999999999
경기,85m²~102m²,2017,4,11906.4
제주,85m²~102m²,2016,9,10418.1
서울,모든면적,2020,3,26495.7
울산,85m²~102m²,2023,9,22581.9
경북,60m²~85m²,2019,12,9560.1
충남,모든면적,2020,10,8880.3
울산,60m²,2018,4,
서울,60m²,2019,1,24420.0
대전,60m²~85m²,2023,5,16011.6
강원,85m²~102m²,2019,5,10985.7
강원,60m²~85m²,2015,10,7299.599999999999
강원,60m²,2017,2,6870.599999999999
경기,102m²~,2015,10,12144.0
세종,60m²,2023,3,12289.2
대구,85m²~102m²,2023,9,16414.2
대구,102m²~,2018,4,9787.8
경남,102m²~,2019,6,14199.9
제주,60m²~85m²,2018,1,11589.6
경남,모든면적,2016,9,7890.299999999999
충남,60m²~85m²,2016,11,7517.4
대구,모든면적,2018,3,11193.6
대구,60m²,2019,7,13830.3
부산,85m²~102m²,2021,10,13104.3
경남,85m²~102m²,2018,7,9428.1
충북,60m²,2018,6,7543.799999999999
서울,모든면적,2016,7,20638.2
제주,85m²~102m²,2017,6,15869.7
대전,102m²~,2022,4,13035.0
울산,102m²~,2017,1,10484.1
충남,모든면적,2021,10,9629.4
충북,85m²~102m²,2018,7,8992.5
경북,85m²~102m²,2019,2,8801.1
세종,60m²~85m²,2019,6,11203.5
서울,102m²~,2022,6,29412.9
제주,모든면적,2024,3,24773.1
인천,60m²~85m²,2020,12,15391.2
경북,85m²~102m²,2018,8,
대전,모든면적,2019,5,11820.6
울산,102m²~,2017,6,10352.1
전북,60m²~85m²,2020,7,8259.9
경북,60m²~85m²,2024,7,13797.3
제주,60m²~85m²,2020,11,15378.0
인천,60m²~85m²,2016,12,10352.1
전북,60m²~85m²,2020,12,8718.6
대구,모든면적,2017,4,10490.7
광주,85m²~102m²,2017,6,9504.0
경북,102m²~,2017,1,8382.0
울산,85m²~102m²,2021,6,11599.5
대구,모든면적,2019,12,14427.6
대구,102m²~,2018,9,13071.3
세종,모든면적,2022,8,10586.4
경기,102m²~,2022,8,16678.2
충남,60m²,2016,10,7557.0
전남,60m²~85m²,2020,4,8530.5
경기,85m²~102m²,2020,12,15213.0
대구,모든면적,2018,11,12622.5
광주,85m²~102m²,2023,9,14279.1
충남,102m²~,2019,11,9355.5
인천,60m²,2023,7,16341.6
